station_id,lat,lng
ODSS_57330_WSLAHD.1,-32.9983065,115.97324
PI_342989.1,-32.9983065,115.97324
RES_BENWLOR,-36.7208,146.219074
212282.3,-33.685222,150.3044255
212282.1,-33.685222,150.3044255
410654,-35.42916667,149.0681944
607041,-34.29642936,116.0403728
225225A,-37.90833333,146.8
629.1,-41.68027778,146.3831944
656.1,-41.69722222,145.6463889
206036,-30.2894,151.7372
370.1,-41.99158333,145.5715
41010941,-34.4763,144.3047
407333A,-37.27562072,143.6541953
565.1,-42.61080556,146.8457778
42510037,-32.2674,142.3869
A5040520.1,-34.83259978,138.806997
229409A,-37.822121,145.191501
232217A,-37.51551006,144.0847696
229413A,-37.645413,145.087531
229410A,-37.872252,145.137518
657.1,-41.78277778,145.6463889
236228A,-37.37794925,143.3790836
A5020501.1,-35.40014743,138.4201946
MALMSBURY,-37.210576,144.370136
PI_342996.1,-34.2788675,116.04553
ODSS_18335_WSLAHD.1,-34.2788675,116.04553
SB903,-38.77977607,143.6555179
125003A,-21.141222,148.936264
145021A,-28.189798,152.644859
138013B,-25.5884,152.62535
RES_BENWMSR,-36.788587,146.210809
MCCAY,-37.091096,144.300013
A4260601,-34.04561161,141.2518774
212281.1,-33.690155,150.3026625
212281.3,-33.690155,150.3026625
SAWMILBRS.1,-34.82773248,138.8143135
125008A,-21.17861111,148.8283333
125008A,-21.17788,148.83
SB049,-38.15875126,144.312537
PI_359775.1,-15.6183465,128.102765
ODSS_39563_WSLAHD.1,-15.6183465,128.102765
ODSS_55089_WSLAHD.1,-15.6183465,128.102765
143111A,-28.0435625,152.540456
4222007A,-27.991932,148.735166
MOORA,-37.22993,142.42362
130351A,-24.608948,149.971783
130350B,-24.61006,149.94202
SAWMTBORS.1,-35.11934755,138.7095377
MT_COLE,-37.28187,143.20495
HDR4.HDR4TK04,-42.874,147.297
ODSS_12030_STAMN.1,-31.9913885,116.215395
ODSS_52306_WSLAHD.1,-31.9913885,116.215395
PI_230045.1,-31.9913885,116.215395
ODSS_53437_WSLAHD.1,-31.9913885,116.215395
ODSS_21168_WSLAHD.1,-31.9913885,116.215395
130372A,-23.643825,150.3736639
401571,-36.23772778,148.1811528
SAWMYPRS.1,-35.39704456,138.4352397
419060,-30.20107222,149.4370944
419062,-30.2651,149.7011
296.1,-41.91083333,145.5652778
41010287,-34.5011,144.3045
229408A,-37.723443,144.904097
229411A,-37.902431,145.126615
A4261153,-35.60295223,139.3363968
136023A,-25.0515,152.09945
212205.3,-34.360153,150.593278
212205.1,-34.360153,150.593278
130304B,-24.172467,149.813974
ODSS_45533_WSLAHD.1,-32.043836,116.075355
ODSS_21167_WSLAHD.1,-32.043836,116.075355
sp-o10926,-37.408774,144.007265
RES_MYRWNGR,-36.561487,146.741251
132,-23.64198256,150.4061572
PI_14564.1,-32.517006,116.0284705
142801A,-27.2615345,152.8984545
ODSS_45531_WSLAHD.1,-32.517006,116.0284705
ODSS_21138_WSLAHD.1,-32.517006,116.0284705
