STN_NUM,WMO_NUM,AVIATION_ID,NAME,REGION,STATUS,EQUIP_START,EQUIP_END,LATITUDE,LONGITUDE,STN_HT,BAR_HT,AERO_HT
24584,95818,YMBD,PALLAMANA AERODROME,SA,OPEN,13/2/2006,,-35.065,139.2273,45,45.5,54.8
25557,95815,KETH,MUNKORA,SA,OPEN,26/6/2001,,-36.1058,140.3273,27,27.5,
25562,94690,LAMR,AUSTIN PLAINS,SA,OPEN,23/6/2004,,-35.3778,140.5378,110.08,110.8,
26021,94821,YMTG,MOUNT GAMBIER AERO,SA,OPEN,5/7/1993,,-37.7473,140.7739,63,69,64.6
26091,94817,COOW,COONAWARRA,SA,OPEN,14/3/1997,,-37.2906,140.8254,57,57.5,
26095,94813,JAFA,THE LIMESTONE,SA,OPEN,27/3/1991,,-36.9655,139.7164,17,18,
26099,94820,YNRC,NARACOORTE AERODROME,SA,OPEN,3/6/1998,,-36.9813,140.727,49.72,50.3,50
26100,95823,PDTH,PADTHAWAY SOUTH,SA,OPEN,15/2/2000,,-36.6539,140.5212,37,,
26105,95816,YRBE,ROBE AIRFIELD,SA,OPEN,2/7/2003,,-37.1776,139.8054,3,3.5,
27045,94170,YBWP,WEIPA AERO,QLD,OPEN,1/12/1992,,-12.6778,141.9208,17.96,19,19.2
27054,94182,YCCT,COCONUT ISLAND,QLD,OPEN,1/7/1988,,-10.0511,143.0686,3.5,4,
27058,94174,YHID,HORN ISLAND,QLD,OPEN,10/1/1995,,-10.5844,142.29,4,5,4.9
27073,94183,YCOE,COEN AIRPORT,QLD,OPEN,4/6/2002,,-13.7606,143.1183,159.3,160.1,162.2
27075,94171,YBSG,SCHERGER RAAF,QLD,OPEN,10/12/2005,,-12.6167,142.0869,39.341,40.1,40.4
28004,94276,YPVI,PALMERVILLE,QLD,OPEN,12/7/2001,,-16.0008,144.0758,203.8,204.7,
28008,94186,YLHR,LOCKHART RIVER AIRPORT,QLD,OPEN,15/6/2001,,-12.785,143.3047,18.5,17.8,23.5
29038,94268,YKOW,KOWANYAMA AIRPORT,QLD,OPEN,10/6/1999,,-15.4818,141.7483,9.6,10.8,10.7
29039,94256,YMTI,MORNINGTON ISLAND,QLD,OPEN,13/6/1991,,-16.664,139.1837,8.5,8.8,10.1
